Date,Ticker,Close,Daily_Return
2024-07-09,AAPL,226.716064453125,0.0
2024-07-10,AAPL,230.97914123535156,0.018803593792569462
2024-07-11,AAPL,225.61561584472656,-0.02322082142109938
2024-07-12,AAPL,228.5601043701172,0.013050907466516382
2024-07-15,AAPL,232.386962890625,0.01674333554866947
2024-07-16,AAPL,232.8033447265625,0.0017917607371695787
2024-07-17,AAPL,226.91436767578125,-0.025295929737169875
2024-07-18,AAPL,222.25469970703125,-0.020534918156473014
2024-07-19,AAPL,222.3835906982422,0.0005799247052180601
2024-07-22,AAPL,222.03662109375,-0.0015602302463179063
2024-07-23,AAPL,223.0775909423828,0.00468827999410637
2024-07-24,AAPL,216.6631622314453,-0.02875424951399197
2024-07-25,AAPL,215.6221923828125,-0.004804553934834699
2024-07-26,AAPL,216.08815002441406,0.002160991113448585
2024-07-29,AAPL,216.36575317382812,0.0012846754872153365
2024-07-30,AAPL,216.92091369628906,0.0025658428578339
2024-07-31,AAPL,220.1727752685547,0.014991000714751568
2024-08-01,AAPL,216.48471069335938,-0.016750774798095835
2024-08-02,AAPL,217.97183227539062,0.006869406976909742
2024-08-05,AAPL,207.47280883789062,-0.04816688160071658
2024-08-06,AAPL,205.45030212402344,-0.009748297741741574
2024-08-07,AAPL,208.01806640625,0.012498225875941849
2024-08-08,AAPL,211.4780731201172,0.016633202940700142
2024-08-09,AAPL,214.3829345703125,0.013735993558752435
2024-08-12,AAPL,215.91146850585938,0.007129923557630757
2024-08-13,AAPL,219.62362670898438,0.0171929644535036
2024-08-14,AAPL,220.07029724121094,0.002033800001028263
2024-08-15,AAPL,223.0479736328125,0.013530569226876787
2024-08-16,AAPL,224.36807250976562,0.005918452678374431
2024-08-19,AAPL,224.2092742919922,-0.00070775764125941
2024-08-20,AAPL,224.82464599609375,0.0027446309080869646
2024-08-21,AAPL,224.71546936035156,-0.0004856079512923772
2024-08-22,AAPL,222.85939025878906,-0.008259685489591773
2024-08-23,AAPL,225.15219116210938,0.010288105431222272
2024-08-26,AAPL,225.4896697998047,0.0014988911986750786
2024-08-27,AAPL,226.33334350585938,0.003741518211471506
2024-08-28,AAPL,224.80479431152344,-0.006753530746548497
2024-08-29,AAPL,228.0802459716797,0.014570203763614176
2024-08-30,AAPL,227.29611206054688,-0.003437973805193839
2024-09-03,AAPL,221.1124725341797,-0.027205214688054147
2024-09-04,AAPL,219.20677185058594,-0.008618693743290162
2024-09-05,AAPL,220.72540283203125,0.006927847021443334
2024-09-06,AAPL,219.177001953125,-0.007015055172804763
2024-09-09,AAPL,219.26632690429688,0.00040754709835377767
2024-09-10,AAPL,218.47227478027344,-0.0036214047785367853
2024-09-11,AAPL,221.0032958984375,0.011585090697250333
2024-09-12,AAPL,221.1124725341797,0.0004940045590648978
2024-09-13,AAPL,220.84446716308594,-0.0012120771298974597
2024-09-16,AAPL,214.71046447753906,-0.027775215582001134
2024-09-17,AAPL,215.17697143554688,0.0021727257641726005
2024-09-18,AAPL,219.04795837402344,0.017989782608479832
2024-09-19,AAPL,227.16708374023438,0.03706551490586163
2024-09-20,AAPL,226.5020751953125,-0.0029273983447457574
2024-09-23,AAPL,224.7849578857422,-0.0075810224170778095
2024-09-24,AAPL,225.67825317382812,0.0039739994014189595
2024-09-25,AAPL,224.68568420410156,-0.004398159573497096
2024-09-26,AAPL,225.82713317871094,0.0050802033901389265
2024-09-27,AAPL,226.0951385498047,0.0011867722329081953
2024-09-30,AAPL,231.266357421875,0.022871871130175414
2024-10-01,AAPL,224.52688598632812,-0.02914159893673063
2024-10-02,AAPL,225.0926513671875,0.0025198112839539544
2024-10-03,AAPL,223.99087524414062,-0.004894767183001303
2024-10-04,AAPL,225.11248779296875,0.005007402857842402
2024-10-07,AAPL,220.04052734375,-0.022530782272209282
2024-10-08,AAPL,224.0901641845703,0.018404049879838347
